census_section,non_spanish_population
0801908062,71
0801908063,83
0801908064,208
0801908065,486
0801908066,442
0801908067,451
0801908068,530
0801908069,437
0801908070,439
0801908071,427
0801908072,240
0801908073,691
0801908074,479
0801908075,509
0801908076,303
0801908077,178
0801908078,509
0801908079,412
0801908080,439
0801908081,527
0801908082,409
0801908083,401
0801908084,211
0801908085,397
0801908086,361
0801908087,272
0801908088,271
0801908089,267
0801908090,232
0801908091,242
0801908092,166
0801908093,222
0801908094,212
0801908095,138
0801908096,263
0801908097,245
0801908098,251
0801908099,334
0801908100,300
0801908101,243
0801908102,399
0801908103,596
0801908104,329
0801908105,345
0801908106,366
0801908107,284
0801908108,581
0801908109,98
0801908110,711
0801908111,607
0801908112,510
0801908113,556
0801908114,534
0801908115,528
0801908116,251
0801908215,384
0801909001,986
0801909002,752
0801909003,718
0801909004,469
0801909005,342
0801909006,180
0801909007,244
0801909008,141
0801909009,158
0801909010,209
0801909011,243
0801909013,595
0801909014,3045
0801909015,537
0801909016,93
0801909017,188
0801909018,83
0801909019,217
0801909020,96
0801909021,192
0801909022,139
0801909023,113
0801909024,133
0801909025,161
0801909026,142
0801909027,108
0801909028,44
0801909029,119
0801909030,112
0801909031,61
0801909032,309
0801909033,521
0801909034,225
0801909035,203
0801909036,94
0801909037,432
0801909038,152
0801909039,192
0801909040,215
0801909041,161
0801909042,181
0801909043,249
0801909044,192
0801909045,163
0801909046,136
0801909047,206
0801909048,169
0801909049,216
0801909050,230
0801909051,169
0801909052,138
0801909053,215
0801909054,149
0801909055,418
0801909056,150
0801909057,456
0801909058,275
0801909059,230
0801909060,250
0801909061,267
0801909062,298
0801909063,165
0801909064,163
0801909065,448
0801909066,190
0801909067,314
0801909068,246
0801909069,202
0801909070,527
0801909071,423
0801909072,410
0801909073,201
0801909074,310
0801909075,314
0801909076,247
0801909077,244
0801909078,283
0801909079,293
0801909080,236
0801909081,362
0801909082,468
0801909083,289
0801909084,325
0801909085,323
0801909086,338
0801909087,210
0801909088,348
0801909089,302
0801909090,359
0801909091,351
0801909092,324
0801909093,225
0801909094,410
0801909095,393
0801909156,202
0801910001,450
0801910002,461
0801910003,368
0801910004,322
0801910005,290
0801910006,399
0801910007,191
0801910008,437
0801910009,439
0801910010,485
0801910011,275
0801910012,393
0801910013,345
0801910014,416
0801910015,574
0801910016,277
0801910017,435
0801910018,448
0801910019,323
0801910020,357
0801910021,295
0801910022,320
0801910023,335
0801910024,360
0801910025,367
0801910026,429
0801910027,289
0801910028,390
0801910029,274
0801910030,236
0801910031,342
0801910032,242
0801910033,57
0801910034,232
0801910035,176
0801910036,262
0801910037,280
0801910038,398
0801910039,577
0801910040,499
0801910041,396
0801910042,1046
0801910043,1493
0801910044,422
0801910045,289
0801910046,282
0801910047,428
0801910048,407
0801910049,300
0801910050,299
0801910051,440
0801910052,592
0801910053,357
0801910054,232
0801910055,568
0801910056,645
0801910057,437
0801910058,311
0801910059,725
0801910060,586
0801910061,328
0801910062,299
0801910063,334
0801910064,486
0801910065,369
0801910066,503
0801910067,401
0801910068,246
0801910069,650
0801910070,468
0801910071,278
0801910072,565
0801910073,258
0801910074,531
0801910075,364
0801910076,407
0801910077,311
0801910078,626
0801910079,264
0801910080,1038
0801910081,812
0801910082,908
0801910083,991
0801910084,614
0801910085,871
0801910086,586
0801910087,589
0801910088,242
0801910089,5724
0801910090,405
0801910091,520
0801910092,214
0801910093,530
0801910094,1129
0801910095,326
0801910096,444
0801910097,302
0801910098,163
0801910099,101
0801910100,394
0801910101,522
0801910102,476
0801910103,291
0801910104,123
0801910105,256
0801910106,169
0801910107,209
0801910108,198
0801910109,323
0801910110,556
0801910111,234
0801910112,155
0801910113,288
0801910114,418
0801910115,306
0801910116,407
0801910117,218
0801910118,100
0801910119,236
0801910120,370
0801910121,372
0801910122,169
0801910123,187
0801910124,113
0801910125,158
0801910126,128
0801910127,95
0801910128,172
0801910129,111
0801910130,265
0801910131,102
0801910132,272
0801910133,330
0801910134,318
0801910135,220
0801910136,233
0801910137,259
0801910138,1260
0801910139,451
0801910140,434
0801910141,194
0801910142,361
0801910143,426
0801910234,274
0801910235,240
0801910236,371
0801910237,156
