element,id,geometry
way,1318167143,"LINESTRING (430354.01201332617 4587840.36123944, 430356.9067514188 4587839.900346393, 430493.48733220185 4587820.965946596, 430499.2445963804 4587820.166716297)"
way,1318167144,"LINESTRING (430499.2445963804 4587820.166716297, 430502.07273016556 4587819.728727764, 430505.68498771364 4587819.161072675)"
way,1318180276,"LINESTRING (428332.3883411344 4582141.782187867, 428330.2092524812 4582128.591241249, 428317.66944401414 4582042.656389144, 428311.3847068881 4581988.058788593, 428306.88477397524 4581985.3941969)"
way,1318180277,"LINESTRING (428334.8654021507 4582157.20187943, 428333.3837102962 4582148.578446024, 428332.3883411344 4582141.782187867)"
way,1318180282,"LINESTRING (428353.2419994477 4582256.746767395, 428352.9054092874 4582254.840389633, 428335.50758677325 4582160.415380762, 428334.8654021507 4582157.20187943)"
way,1318180283,"LINESTRING (428356.0589338451 4582271.030605551, 428355.38432866527 4582267.073525562, 428353.2419994477 4582256.746767395)"
way,1318180288,"LINESTRING (428448.1633864626 4582652.250412388, 428446.2304918864 4582646.173986457, 428433.9864672084 4582609.433153402, 428420.8095719005 4582569.681556385, 428414.0239261776 4582546.354698522, 428398.11850418965 4582478.428618923, 428397.4519481545 4582475.281970242)"
way,1318180289,"LINESTRING (428397.4519481545 4582475.281970242, 428395.4572971389 4582462.966311704, 428393.1175162846 4582452.108551341)"
way,1318181765,"LINESTRING (431074.8184237456 4583697.764053392, 431079.1331914044 4583693.492789002)"
way,1318181766,"LINESTRING (431079.1331914044 4583693.492789002, 431086.29513976513 4583686.21885989)"
way,1318192163,"LINESTRING (428882.46725924424 4580972.931679539, 428877.37928759534 4580970.039337764, 428874.5630398945 4580968.545876991)"
way,1318195079,"LINESTRING (430761.01272878615 4587783.303224694, 430811.03955555195 4587775.996121751, 430840.3916519575 4587771.718303547, 430872.84764548135 4587767.000126631, 430906.2128101845 4587762.117968767, 430941.02646823355 4587756.678089203, 431001.1949826547 4587747.4434866235, 431001.74007780827 4587751.157775159)"
way,1318195080,"LINESTRING (430755.54547133454 4587783.855203448, 430757.55852918164 4587783.802620339, 430761.01272878615 4587783.303224694)"
way,1318195087,"LINESTRING (431003.6869713104 4587759.932739297, 431002.5601490949 4587756.54598617)"
