census_section,income_2022_house,income_2022_pers
0801905048,85278,32669
0801905049,96055,34088
0801905050,63937,26406
0801905051,86211,31709
0801905052,98221,34765
0801905053,98221,34765
0801905054,98221,34765
0801905055,98221,34765
0801905056,74102,31537
0801905057,98221,34765
0801905058,88632,34765
0801905059,65718,29106
0801905060,97915,34765
0801905061,54826,26184
0801905062,73802,31252
0801905063,76201,30886
0801905064,69413,30658
0801905065,62996,25681
0801905066,75524,30635
0801905067,71430,28470
0801905068,58498,26182
0801905069,62602,25440
0801905070,58587,24134
0801905071,54842,23788
0801905072,61721,25491
0801905073,54220,23903
0801905074,70737,28797
0801905075,56386,25000
0801905076,64120,26487
0801905077,77577,28128
0801905078,77962,28982
0801905079,64930,25605
0801905080,54846,24575
0801905081,53814,23078
0801905082,51700,22720
0801905083,53694,23353
0801905084,54120,23306
0801905085,48698,20865
0801905086,50243,22648
0801905087,54351,23720
0801905088,60039,24458
0801905089,60615,24315
0801905090,49645,22860
0801905091,47950,20261
0801905092,77999,29786
0801905093,58665,25536
0801905094,71064,27970
0801905095,53971,22471
0801905096,46696,21575
0801905097,55711,22901
0801905098,53515,22738
0801906001,43059,18437
0801906002,42529,19786
0801906003,41027,17396
0801906004,46074,20428
0801906006,62157,25693
0801906007,52693,21756
0801906008,44499,19455
0801906009,65953,26136
0801906010,57552,23746
0801906011,53896,22289
0801906012,63096,24189
0801906013,43563,18878
0801906014,39644,16675
0801906015,39554,16418
0801906016,35517,15632
0801906017,39434,16744
0801906018,40463,17973
0801906019,43152,18465
0801906020,44579,20277
0801906021,53734,22343
0801906022,47322,20209
0801906023,56238,22902
0801906024,46489,19853
0801906025,51474,22165
0801906026,46812,21054
0801906027,49616,21503
0801906028,38837,17534
0801906029,42433,20787
0801906030,38630,17996
0801906031,39198,19524
0801906032,40865,18631
0801906033,43374,19715
0801906034,38724,18713
0801906035,53946,23000
0801906036,47090,21263
0801906037,48460,20533
0801906038,43138,18926
0801906039,37818,18307
0801906040,48273,21123
0801906041,47246,20811
0801906042,49461,21853
0801906043,46153,21640
0801906044,54390,25146
