census_section,cars,others,motos,population,cars_abs,motos_abs,others_abs
0801902134,284,19,165,1393,395.61,229.84,26.47
0801902135,238,22,139,2017,480.05,280.36,44.37
0801902136,291,30,163,845,245.9,137.74,25.35
0801902137,245,23,143,1382,338.59,197.63,31.79
0801902138,280,42,170,1819,509.32,309.23,76.4
0801902139,236,27,150,1639,386.8,245.85,44.25
0801902140,280,18,205,1780,498.4,364.9,32.04
0801902141,246,16,206,1128,277.49,232.37,18.05
0801902142,220,25,156,1909,419.98,297.8,47.72
0801902143,245,32,153,1401,343.24,214.35,44.83
0801902144,233,24,151,1422,331.33,214.72,34.13
0801902145,245,20,151,1185,290.32,178.94,23.7
0801902146,278,73,171,1123,312.19,192.03,81.98
0801902147,227,25,158,1980,449.46,312.84,49.5
0801902148,303,52,190,1488,450.86,282.72,77.38
0801902149,221,32,181,1778,392.94,321.82,56.9
0801902150,215,22,121,1443,310.24,174.6,31.75
0801902151,236,17,154,1424,336.06,219.3,24.21
0801902152,287,44,150,1189,341.24,178.35,52.32
0801902153,267,22,154,1247,332.95,192.04,27.43
0801902154,243,29,149,963,234.01,143.49,27.93
0801902155,216,22,131,1689,364.82,221.26,37.16
0801902156,292,23,137,1217,355.36,166.73,27.99
0801902157,223,30,119,1141,254.44,135.78,34.23
0801902158,253,68,142,1507,381.27,213.99,102.48
0801902159,236,21,148,1887,445.33,279.28,39.63
0801902160,247,29,170,1866,460.9,317.22,54.11
0801902161,207,27,169,1096,226.87,185.22,29.59
0801902162,189,18,130,1310,247.59,170.3,23.58
0801902163,258,25,191,1706,440.15,325.85,42.65
0801902164,238,79,174,1375,327.25,239.25,108.62
0801902165,213,27,127,1602,341.23,203.45,43.25
0801902166,219,26,133,2047,448.29,272.25,53.22
0801902167,256,54,156,2002,512.51,312.31,108.11
0801902168,215,28,138,2141,460.32,295.46,59.95
0801902169,195,33,131,1476,287.82,193.36,48.71
0801902170,211,40,137,1446,305.11,198.1,57.84
0801902171,208,22,123,1528,317.82,187.94,33.62
0801902172,217,23,140,1434,311.18,200.76,32.98
0801902173,239,37,151,1467,350.61,221.52,54.28
0801903001,214,22,141,1603,343.04,226.02,35.27
0801903002,215,35,152,1866,401.19,283.63,65.31
0801903003,179,21,129,1602,286.76,206.66,33.64
0801903004,239,23,132,1504,359.46,198.53,34.59
0801903005,238,26,128,1096,260.85,140.29,28.5
0801903006,229,47,164,1346,308.23,220.74,63.26
0801903007,212,28,124,1595,338.14,197.78,44.66
0801903008,208,35,113,1162,241.7,131.31,40.67
0801903009,233,31,132,1159,270.05,152.99,35.93
0801903010,178,41,108,1831,325.92,197.75,75.07
0801903011,157,31,129,1698,266.59,219.04,52.64
0801903012,202,32,125,1954,394.71,244.25,62.53
0801903013,185,33,125,1673,309.5,209.12,55.21
0801903014,180,28,136,1727,310.86,234.87,48.36
0801903015,176,23,106,2786,490.34,295.32,64.08
0801903016,163,31,95,1208,196.9,114.76,37.45
0801903017,177,35,115,1586,280.72,182.39,55.51
0801903018,200,18,125,1564,312.8,195.5,28.15
0801903019,205,28,99,1464,300.12,144.94,40.99
0801903020,295,88,166,1156,341.02,191.9,101.73
0801903021,252,22,113,1013,255.28,114.47,22.29
0801903022,215,64,110,1373,295.2,151.03,87.87
0801903023,199,24,132,1812,360.59,239.18,43.49
0801903024,245,60,175,1908,467.46,333.9,114.48
0801903025,4272,4005,612,1462,6245.66,894.74,5855.31
0801903026,357,22,98,917,327.37,89.87,20.17
0801903027,287,22,137,1601,459.49,219.34,35.22
0801903028,278,32,131,2557,710.85,334.97,81.82
0801903029,259,27,122,1166,301.99,142.25,31.48
0801903030,340,50,156,1455,494.7,226.98,72.75
0801903031,326,40,152,2278,742.63,346.26,91.12
0801903032,255,62,143,1637,417.44,234.09,101.49
0801903033,218,33,115,1411,307.6,162.27,46.56
0801903034,321,59,172,1435,460.64,246.82,84.66
0801903035,314,35,166,2135,670.39,354.41,74.73
0801903036,289,22,155,2306,666.43,357.43,50.73
0801903037,343,39,134,962,329.97,128.91,37.52
0801903038,319,36,181,902,287.74,163.26,32.47
0801903039,223,26,124,2377,530.07,294.75,61.8
0801903040,308,36,159,1627,501.12,258.69,58.57
0801903041,256,23,155,1322,338.43,204.91,30.41
0801903042,289,39,180,1302,376.28,234.36,50.78
0801903043,295,29,133,1451,428.04,192.98,42.08
0801903044,239,28,156,1795,429.0,280.02,50.26
0801903045,264,30,179,1041,274.82,186.34,31.23
0801903046,309,28,142,1346,415.91,191.13,37.69
0801903047,230,38,156,1673,384.79,260.99,63.57
0801903048,338,62,157,1283,433.65,201.43,79.55
0801903049,243,44,110,1593,387.1,175.23,70.09
0801903050,230,30,116,1547,355.81,179.45,46.41
0801903051,204,35,125,1848,376.99,231.0,64.68
0801903052,192,26,127,1286,246.91,163.32,33.44
0801903053,211,40,116,2057,434.03,238.61,82.28
0801903054,279,38,127,1562,435.8,198.37,59.36
0801903055,247,29,136,1499,370.25,203.86,43.47
0801903056,296,51,117,920,272.32,107.64,46.92
0801903057,267,25,127,1392,371.66,176.78,34.8
0801903058,246,24,116,1623,399.26,188.27,38.95
0801903059,264,26,141,1106,291.98,155.95,28.76
0801903060,275,34,120,1291,355.02,154.92,43.89
0801903061,223,21,113,982,218.99,110.97,20.62
0801903062,228,28,140,1460,332.88,204.4,40.88
0801903063,209,37,111,1890,395.01,209.79,69.93
0801903064,310,32,154,1170,362.7,180.18,37.44
0801903065,333,22,183,1300,432.9,237.9,28.6
0801903066,280,25,139,2254,631.12,313.31,56.35
0801903067,285,24,142,1668,475.38,236.86,40.03
0801903068,228,48,113,1084,247.15,122.49,52.03
0801903069,313,28,122,1121,350.87,136.76,31.39
0801903070,248,35,153,1274,315.95,194.92,44.59
0801903071,204,19,107,1282,261.53,137.17,24.36
0801903072,222,19,117,1277,283.49,149.41,24.26
0801903073,254,24,118,1506,382.52,177.71,36.14
0801903074,247,43,136,1663,410.76,226.17,71.51
0801903075,247,24,112,1673,413.23,187.38,40.15
0801903076,254,31,114,984,249.94,112.18,30.5
0801903077,234,20,116,1268,296.71,147.09,25.36
0801903078,216,36,119,1635,353.16,194.56,58.86
0801903079,204,27,111,1723,351.49,191.25,46.52
0801903080,278,15,119,1440,400.32,171.36,21.6
0801903081,260,26,143,1779,462.54,254.4,46.25
0801903082,297,29,153,1777,527.77,271.88,51.53
0801903083,292,26,134,1302,380.18,174.47,33.85
0801903084,316,36,150,1309,413.64,196.35,47.12
0801903085,281,50,161,1256,352.94,202.22,62.8
0801903086,362,21,189,1175,425.35,222.08,24.68
0801903087,264,27,147,1387,366.17,203.89,37.45
0801903088,268,29,159,1305,349.74,207.5,37.84
0801903089,293,22,153,1124,329.33,171.97,24.73
0801903090,256,17,129,905,231.68,116.74,15.39
0801903091,245,31,139,1407,344.72,195.57,43.62
0801903092,271,33,142,1165,315.72,165.43,38.44
0801903093,307,25,167,1402,430.41,234.13,35.05
0801903094,217,16,138,1120,243.04,154.56,17.92
0801903095,242,23,137,1537,371.95,210.57,35.35
0801903096,220,38,124,1465,322.3,181.66,55.67
0801903097,176,35,111,1564,275.26,173.6,54.74
0801903098,210,20,119,1388,291.48,165.17,27.76
0801903099,201,25,140,934,187.73,130.76,23.35
0801903100,200,41,138,1218,243.6,168.08,49.94
0801903101,54,9,33,4272,230.69,140.98,38.45
0801903102,231,28,139,1288,297.53,179.03,36.06
0801903103,266,29,110,1070,284.62,117.7,31.03
0801903104,218,27,128,1348,293.86,172.54,36.4
0801903105,196,32,133,1124,220.3,149.49,35.97
0801903106,205,41,160,1244,255.02,199.04,51.0
0801903107,248,60,132,1532,379.94,202.22,91.92
0801903108,249,39,134,1510,375.99,202.34,58.89
0801903109,251,33,149,1448,363.45,215.75,47.78
0801903110,291,35,150,1341,390.23,201.15,46.94
0801903111,239,34,181,1231,294.21,222.81,41.85
0801903112,265,27,167,1771,469.32,295.76,47.82
0801903113,309,28,167,1435,443.42,239.64,40.18
0801903114,320,32,203,1404,449.28,285.01,44.93
0801903211,294,38,174,1478,434.53,257.17,56.16
0801903212,246,20,136,2213,544.4,300.97,44.26
0801903213,238,31,139,2299,547.16,319.56,71.27
0801904001,275,42,164,1210,332.75,198.44,50.82
0801904002,646,42,139,1826,1179.6,253.81,76.69
0801904003,355,17,184,1025,363.88,188.6,17.42
0801904004,319,28,155,954,304.33,147.87,26.71
0801904005,281,48,153,1153,323.99,176.41,55.34
0801904006,291,25,155,1067,310.5,165.38,26.68
0801904007,281,39,161,948,266.39,152.63,36.97
0801904008,281,33,155,941,264.42,145.85,31.05
0801904009,270,27,161,1415,382.05,227.82,38.2
0801904010,322,22,164,852,274.34,139.73,18.74
0801904011,353,23,157,1652,583.16,259.36,38.0
0801904012,364,29,206,1291,469.92,265.95,37.44
0801904013,368,31,212,1148,422.46,243.38,35.59
