census_section,household_avg_m2
0801905093,95.8
0801905094,110.6
0801905095,86.1
0801905096,81.1
0801905097,94.2
0801905098,73.0
0801906001,82.9
0801906002,71.6
0801906003,67.6
0801906004,71.6
0801906006,83.8
0801906007,79.5
0801906008,80.4
0801906009,75.7
0801906010,73.4
0801906011,87.4
0801906012,82.7
0801906013,71.3
0801906014,73.6
0801906015,64.7
0801906016,63.5
0801906017,64.5
0801906018,66.1
0801906019,74.0
0801906020,74.6
0801906021,87.9
0801906022,61.9
0801906023,86.3
0801906024,83.1
0801906025,86.3
0801906026,80.7
0801906027,87.2
0801906028,66.9
0801906029,67.9
0801906030,65.6
0801906031,62.4
0801906032,64.9
0801906033,65.8
0801906034,67.1
0801906035,78.9
0801906036,80.2
0801906037,93.7
0801906038,73.6
0801906039,67.4
0801906040,89.8
0801906041,89.8
0801906042,84.7
0801906043,83.4
0801906044,103.1
0801906045,89.4
0801906046,70.0
0801906047,60.0
0801906048,69.5
0801906049,72.2
0801906050,67.2
0801906051,71.3
0801906052,70.3
0801906053,68.3
0801906054,65.3
0801906055,69.2
0801906056,58.9
0801906057,62.9
0801906058,63.7
0801906059,63.0
0801906060,67.1
0801906061,68.4
0801906062,65.3
0801906063,67.8
0801906064,82.6
0801906065,81.9
0801906066,65.4
0801906067,66.5
0801906068,85.8
0801906069,80.8
0801906070,68.6
0801906071,82.8
0801906072,83.2
0801906073,71.0
0801906074,83.0
0801906075,86.0
0801906076,80.1
0801906077,67.6
0801906078,61.8
0801906079,69.8
0801906080,74.4
0801906081,74.2
0801906082,78.8
0801906083,76.3
0801906084,71.3
0801906085,75.6
0801906086,83.5
0801906087,74.7
0801906088,74.0
0801907001,77.9
0801907002,62.2
0801907003,74.4
0801907004,67.0
0801907005,67.1
0801907006,79.7
0801907007,73.5
0801907008,83.3
0801907009,68.0
0801907010,77.8
0801907011,61.2
0801907012,63.7
0801907013,81.5
0801907014,64.1
0801907015,72.1
0801907016,84.5
0801907017,77.5
0801907018,77.5
0801907019,75.8
0801907020,68.5
0801907021,80.7
0801907022,76.4
0801907023,58.9
0801907024,60.6
0801907025,60.9
0801907026,64.1
0801907027,75.8
0801907028,59.3
0801907029,66.6
0801907030,60.7
0801907031,66.5
0801907032,71.0
0801907033,71.5
0801907034,75.8
0801907035,80.2
0801907036,71.8
0801907037,69.9
0801907038,73.2
0801907039,74.2
0801907040,62.8
0801907041,66.3
0801907042,69.4
0801907043,73.0
0801907044,75.3
0801907045,66.1
0801907046,65.4
0801907047,70.8
0801907048,71.3
0801907049,69.3
0801907050,63.3
0801907051,68.9
0801907052,76.7
0801907053,74.1
0801907054,76.8
0801907055,85.9
0801907056,61.0
0801907057,66.5
0801907058,60.9
0801907059,54.8
0801907060,55.8
0801907061,67.2
0801907062,66.4
0801907063,55.9
0801907064,61.5
0801907065,53.6
0801907066,60.7
0801907067,62.8
0801907068,57.6
0801907069,56.9
0801907070,66.2
0801907071,66.3
0801907072,66.2
0801907073,59.1
0801907074,61.3
0801907075,63.5
0801907076,60.8
0801907077,59.0
0801907078,62.0
0801907079,57.5
0801907080,63.7
0801907081,65.0
0801907082,62.7
0801907083,60.9
0801907084,60.7
0801907085,65.0
0801907086,60.9
0801907087,65.4
0801907088,64.9
0801907089,74.1
0801907090,68.9
0801907091,65.8
0801907092,68.4
0801907093,75.0
0801907094,56.0
0801907095,65.5
0801907096,63.7
0801907097,58.7
0801907098,88.9
0801907099,60.5
0801907100,60.5
0801907101,60.1
0801907102,71.2
0801907103,63.4
0801907104,59.1
0801907105,70.2
0801907106,74.0
0801907107,70.0
0801907108,70.1
0801907109,60.8
0801907110,69.9
0801907111,77.6
0801907112,71.2
0801907113,63.9
0801907114,60.5
0801907115,69.1
0801907116,65.2
0801907117,65.5
0801907118,68.8
0801907119,66.3
0801907120,61.2
0801907121,71.3
0801907122,69.5
0801907123,68.9
0801908001,70.0
0801908002,69.1
0801908003,64.7
0801908004,67.7
