element,id,osmid,health_care,culture,tourism,recreation,sport,economic_retail,industrial,green,civic,worship,education,superpois,geometry
node,599700443,"('node', 599700443)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (431347.7320379389 4584129.116210379)
node,600301360,"('node', 600301360)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (428742.6975671253 4582357.317659251)
node,603785497,"('node', 603785497)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430635.8566031127 4581069.265322348)
node,605495284,"('node', 605495284)",0,1,1,1,0,0,0,0,0,0,0,0,POINT (430519.48405970965 4581142.948282618)
node,605504120,"('node', 605504120)",0,1,0,0,0,0,0,0,0,0,0,0,POINT (430554.12480827403 4581411.982562005)
node,605504143,"('node', 605504143)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430635.4078224355 4581158.680843647)
node,606991000,"('node', 606991000)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430349.8186948808 4580391.581578087)
node,616483254,"('node', 616483254)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431008.86579315504 4584063.343892247)
node,616483257,"('node', 616483257)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430980.8372756102 4584214.199500569)
node,616483260,"('node', 616483260)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431006.2486837361 4584406.259379593)
node,616483262,"('node', 616483262)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431009.4740726481 4584446.48773355)
node,616483268,"('node', 616483268)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431011.3265081669 4584683.849989424)
node,616483277,"('node', 616483277)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431013.94007896655 4584019.494657508)
node,616483280,"('node', 616483280)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430982.07173745707 4584049.931594201)
node,618460197,"('node', 618460197)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (432923.4572873116 4584893.243792561)
node,618460202,"('node', 618460202)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (432870.0283349092 4584855.090103916)
node,618460210,"('node', 618460210)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (433313.57669646945 4585011.737047287)
node,618460214,"('node', 618460214)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (433060.1257159611 4584743.433841329)
node,626909487,"('node', 626909487)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (429103.58383803564 4580648.903561494)
node,640465494,"('node', 640465494)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431077.4672648981 4581433.055602942)
node,642118961,"('node', 642118961)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431749.15459977766 4581994.085687753)
node,642295876,"('node', 642295876)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430940.99698682595 4581951.925185264)
node,643654725,"('node', 643654725)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431150.7794788413 4581525.422666986)
node,644874849,"('node', 644874849)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431566.0086040457 4581539.875640043)
node,648459390,"('node', 648459390)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431294.4310417544 4581606.22018381)
node,652419378,"('node', 652419378)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (430827.266177737 4588505.383438056)
node,652419644,"('node', 652419644)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430884.41076827934 4588573.753098724)
node,652420633,"('node', 652420633)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430894.2625890828 4588594.0994982505)
node,652423013,"('node', 652423013)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431030.6451033232 4588610.084558365)
node,654251774,"('node', 654251774)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430992.07714336214 4581175.516313918)
node,660100522,"('node', 660100522)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (432806.0806100131 4584007.8265882945)
node,660100525,"('node', 660100525)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (432822.1543733219 4583990.579087352)
node,660100527,"('node', 660100527)",0,0,0,1,0,1,0,0,0,0,0,0,POINT (432861.6684352865 4583994.131886294)
node,660100529,"('node', 660100529)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (432645.9743919576 4584014.987712658)
node,660100530,"('node', 660100530)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (432587.7343914722 4584072.376223274)
node,660771772,"('node', 660771772)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (432943.658603802 4583861.648237004)
node,660778771,"('node', 660778771)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (433017.207842892 4583794.15074189)
node,660784487,"('node', 660784487)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (433037.81019748247 4583774.741218972)
node,660784489,"('node', 660784489)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (433058.7551308715 4583731.790625192)
node,662868746,"('node', 662868746)",0,1,0,0,0,0,0,0,0,0,0,0,POINT (428610.88316621626 4585537.139199733)
node,668282816,"('node', 668282816)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431704.6897381805 4583068.326627193)
node,671914494,"('node', 671914494)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430795.92518922145 4581489.25457383)
