census_section,education_primary,education_secondary,education_college
0801909090,251,785,381
0801909091,280,878,490
0801909092,269,967,489
0801909093,186,655,345
0801909094,263,988,604
0801909095,266,954,660
0801909156,164,683,256
0801910001,259,730,456
0801910002,228,847,590
0801910003,207,715,489
0801910004,238,692,473
0801910005,238,756,478
0801910006,189,787,658
0801910007,100,536,551
0801910008,189,715,668
0801910009,188,758,592
0801910010,214,769,620
0801910011,108,537,460
0801910012,216,768,597
0801910013,185,574,484
0801910014,145,622,540
0801910015,225,877,684
0801910016,145,536,411
0801910017,205,780,540
0801910018,149,629,505
0801910019,189,792,489
0801910020,262,671,393
0801910021,214,582,391
0801910022,161,624,431
0801910023,202,658,427
0801910024,177,671,515
0801910025,156,596,441
0801910026,195,694,599
0801910027,200,684,502
0801910028,203,859,537
0801910029,235,650,374
0801910030,244,832,473
0801910031,226,684,445
0801910032,154,654,414
0801910033,147,431,214
0801910034,318,735,396
0801910035,259,889,522
0801910036,117,616,505
0801910037,143,511,248
0801910038,228,701,589
0801910039,224,788,636
0801910040,245,821,606
0801910041,183,648,571
0801910042,388,1315,1176
0801910043,221,1121,1406
0801910044,189,639,617
0801910045,155,511,480
0801910046,170,493,453
0801910047,200,738,595
0801910048,168,567,673
0801910049,158,565,419
0801910050,192,646,527
0801910051,169,614,660
0801910052,128,750,1200
0801910053,83,478,958
0801910054,55,306,471
0801910055,111,780,1381
0801910056,194,684,698
0801910057,180,523,504
0801910058,117,478,396
0801910059,213,635,752
0801910060,171,672,649
0801910061,207,718,578
0801910062,146,645,540
0801910063,170,530,447
0801910064,176,661,619
0801910065,218,627,521
0801910066,207,817,740
0801910067,118,635,829
0801910068,139,611,598
0801910069,287,968,1073
0801910070,215,693,578
0801910071,210,791,574
0801910072,257,773,717
0801910073,271,616,398
0801910074,229,756,588
0801910075,260,623,465
0801910076,113,721,946
0801910077,116,671,761
0801910078,123,799,1060
0801910079,227,703,551
0801910080,145,708,1080
0801910081,445,1022,444
0801910082,540,912,259
0801910083,639,993,164
0801910084,445,769,222
0801910085,573,986,215
0801910086,510,963,230
0801910087,452,898,214
0801910088,344,925,231
0801910089,2036,4001,871
0801910090,311,733,240
0801910091,466,988,345
0801910092,355,737,234
0801910093,270,674,468
0801910094,267,1195,1251
0801910095,199,602,344
0801910096,157,665,632
0801910097,182,611,577
0801910098,268,845,457
0801910099,270,533,149
0801910100,268,726,444
0801910101,240,754,479
0801910102,529,1328,459
0801910103,422,1084,430
0801910104,253,846,338
0801910105,372,1089,448
0801910106,217,502,202
0801910107,186,655,492
0801910108,314,642,249
0801910109,379,762,297
0801910110,363,846,504
0801910111,244,666,253
0801910112,241,715,362
0801910113,185,608,307
0801910114,300,772,277
0801910115,272,680,318
0801910116,423,866,322
0801910117,284,619,231
0801910118,138,452,273
0801910119,219,575,224
0801910120,268,782,313
0801910121,228,798,367
0801910122,274,767,300
0801910123,271,702,229
0801910124,209,551,173
0801910125,260,545,159
0801910126,218,569,150
0801910127,142,503,239
0801910128,307,782,281
0801910129,228,593,210
0801910130,200,625,256
0801910131,200,599,205
0801910132,257,630,245
0801910133,414,901,273
0801910134,338,793,292
0801910135,284,566,220
0801910136,368,697,204
0801910137,502,735,165
0801910138,529,1164,702
0801910139,437,869,202
0801910140,389,863,213
0801910141,280,607,138
0801910142,426,821,209
0801910143,392,893,293
0801910234,307,871,429
0801910235,298,601,261
0801910236,379,700,363
0801910237,180,429,156
