Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,214,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,246,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,250,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,10,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,5,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,285,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,370,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,323,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,447,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,272,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,282,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,320,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,321,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,..,6,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,5,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,6,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,163,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,186,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,206,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,245,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,157,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,190,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,274,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,242,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,..,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,..,6,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1013,14,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1013,..,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1013,127,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1013,139,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1013,173,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1013,188,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1013,135,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1013,155,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1013,186,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1013,156,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,17,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,..,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,178,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,207,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,209,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,269,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,158,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,172,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,185,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,205,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,..,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,..,6,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1015,11,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1015,..,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1015,198,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1015,203,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1015,284,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1015,287,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1015,236,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1015,231,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1015,306,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1015,252,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,10,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,6,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,221,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,173,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,226,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,249,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,205,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,196,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,280,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,247,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,..,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,13,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,..,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,258,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,247,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,321,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,344,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,240,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,218,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,269,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,273,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,..,6,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,14,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,..,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,150,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,158,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,168,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,206,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,161,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,136,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,183,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,196,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,..,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,..,6,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,11,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,6,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,228,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,302,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,292,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,352,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,244,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,291,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,376,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,395,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,..,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,12,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,..,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,141,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,102,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,196,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,188,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,239,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,298,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,510,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,482,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,..,6,2
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,7,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,..,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,108,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,120,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,205,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,204,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,224,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,239,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,482,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,464,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,..,6,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,5,1,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,1,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,55,2,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,191,2,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,96,3,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,226,3,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,176,4,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,210,4,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,370,5,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,328,5,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,6,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,14,1,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,..,1,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,89,2,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,109,2,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,133,3,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,176,3,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,241,4,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,203,4,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,485,5,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,432,5,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,..,1,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,5,1,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,43,2,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,48,2,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,86,3,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,111,3,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,181,4,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,175,4,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,331,5,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,294,5,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,22,1,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,54,1,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,505,2,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,3197,2,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,750,3,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,3939,3,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,652,4,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1540,4,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,671,5,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,904,5,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,6,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,6,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,11,1,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,..,1,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,70,2,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,75,2,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,111,3,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,135,3,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,184,4,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,190,4,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,336,5,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,288,5,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,..,6,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,..,6,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,11,1,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,..,1,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,72,2,1
