"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Tipus_Vehicle","Index_Motoritzacio"
2023,"01","Ciutat Vella","02","el Barri Gòtic","029","Resta de vehicles",2.89
2023,"01","Ciutat Vella","02","el Barri Gòtic","030","Turismes",192.32
2023,"01","Ciutat Vella","02","el Barri Gòtic","030","Motos",176.81
2023,"01","Ciutat Vella","02","el Barri Gòtic","030","Ciclomotors",44.51
2023,"01","Ciutat Vella","02","el Barri Gòtic","030","Furgonetes",24.09
2023,"01","Ciutat Vella","02","el Barri Gòtic","030","Camions",13.47
2023,"01","Ciutat Vella","02","el Barri Gòtic","030","Resta de vehicles",23.68
2023,"01","Ciutat Vella","02","el Barri Gòtic","031","Turismes",187.94
2023,"01","Ciutat Vella","02","el Barri Gòtic","031","Motos",134.06
2023,"01","Ciutat Vella","02","el Barri Gòtic","031","Ciclomotors",44.9
2023,"01","Ciutat Vella","02","el Barri Gòtic","031","Furgonetes",75.05
2023,"01","Ciutat Vella","02","el Barri Gòtic","031","Camions",6.41
2023,"01","Ciutat Vella","02","el Barri Gòtic","031","Resta de vehicles",8.34
2023,"01","Ciutat Vella","03","la Barceloneta","032","Turismes",260.16
2023,"01","Ciutat Vella","03","la Barceloneta","032","Motos",185.83
2023,"01","Ciutat Vella","03","la Barceloneta","032","Ciclomotors",34.84
2023,"01","Ciutat Vella","03","la Barceloneta","032","Furgonetes",52.26
2023,"01","Ciutat Vella","03","la Barceloneta","032","Camions",20.33
2023,"01","Ciutat Vella","03","la Barceloneta","032","Resta de vehicles",11.61
2023,"01","Ciutat Vella","03","la Barceloneta","033","Turismes",216.19
2023,"01","Ciutat Vella","03","la Barceloneta","033","Motos",123.81
2023,"01","Ciutat Vella","03","la Barceloneta","033","Ciclomotors",33.33
2023,"01","Ciutat Vella","03","la Barceloneta","033","Furgonetes",16.19
2023,"01","Ciutat Vella","03","la Barceloneta","033","Camions",0.95
2023,"01","Ciutat Vella","03","la Barceloneta","033","Resta de vehicles",0.95
2023,"01","Ciutat Vella","03","la Barceloneta","034","Turismes",192.51
2023,"01","Ciutat Vella","03","la Barceloneta","034","Motos",130.48
2023,"01","Ciutat Vella","03","la Barceloneta","034","Ciclomotors",27.81
2023,"01","Ciutat Vella","03","la Barceloneta","034","Furgonetes",23.53
2023,"01","Ciutat Vella","03","la Barceloneta","034","Camions",3.21
2023,"01","Ciutat Vella","03","la Barceloneta","034","Resta de vehicles",1.07
2023,"01","Ciutat Vella","03","la Barceloneta","035","Turismes",221.65
2023,"01","Ciutat Vella","03","la Barceloneta","035","Motos",120.35
2023,"01","Ciutat Vella","03","la Barceloneta","035","Ciclomotors",38.1
2023,"01","Ciutat Vella","03","la Barceloneta","035","Furgonetes",28.57
2023,"01","Ciutat Vella","03","la Barceloneta","035","Camions",6.06
2023,"01","Ciutat Vella","03","la Barceloneta","035","Resta de vehicles",4.33
2023,"01","Ciutat Vella","03","la Barceloneta","036","Turismes",237.89
2023,"01","Ciutat Vella","03","la Barceloneta","036","Motos",139.27
2023,"01","Ciutat Vella","03","la Barceloneta","036","Ciclomotors",76.99
2023,"01","Ciutat Vella","03","la Barceloneta","036","Furgonetes",22.49
2023,"01","Ciutat Vella","03","la Barceloneta","036","Camions",5.19
2023,"01","Ciutat Vella","03","la Barceloneta","036","Resta de vehicles",4.33
2023,"01","Ciutat Vella","03","la Barceloneta","037","Turismes",213.17
2023,"01","Ciutat Vella","03","la Barceloneta","037","Motos",125.39
2023,"01","Ciutat Vella","03","la Barceloneta","037","Ciclomotors",32.92
2023,"01","Ciutat Vella","03","la Barceloneta","037","Furgonetes",21.16
2023,"01","Ciutat Vella","03","la Barceloneta","037","Camions",4.7
2023,"01","Ciutat Vella","03","la Barceloneta","037","Resta de vehicles",7.05
2023,"01","Ciutat Vella","03","la Barceloneta","038","Turismes",186.79
2023,"01","Ciutat Vella","03","la Barceloneta","038","Motos",101.56
2023,"01","Ciutat Vella","03","la Barceloneta","038","Ciclomotors",19.89
2023,"01","Ciutat Vella","03","la Barceloneta","038","Furgonetes",19.89
2023,"01","Ciutat Vella","03","la Barceloneta","038","Camions",6.39
2023,"01","Ciutat Vella","03","la Barceloneta","038","Resta de vehicles",3.55
2023,"01","Ciutat Vella","03","la Barceloneta","039","Turismes",213.69
2023,"01","Ciutat Vella","03","la Barceloneta","039","Motos",131.56
2023,"01","Ciutat Vella","03","la Barceloneta","039","Ciclomotors",20.53
2023,"01","Ciutat Vella","03","la Barceloneta","039","Furgonetes",17.49
2023,"01","Ciutat Vella","03","la Barceloneta","039","Camions",2.28
2023,"01","Ciutat Vella","03","la Barceloneta","039","Resta de vehicles",3.04
2023,"01","Ciutat Vella","03","la Barceloneta","040","Turismes",222.02
2023,"01","Ciutat Vella","03","la Barceloneta","040","Motos",112.86
2023,"01","Ciutat Vella","03","la Barceloneta","040","Ciclomotors",20.35
2023,"01","Ciutat Vella","03","la Barceloneta","040","Furgonetes",18.5
2023,"01","Ciutat Vella","03","la Barceloneta","040","Camions",8.33
2023,"01","Ciutat Vella","03","la Barceloneta","040","Resta de vehicles",14.8
2023,"01","Ciutat Vella","03","la Barceloneta","041","Turismes",209.06
2023,"01","Ciutat Vella","03","la Barceloneta","041","Motos",130.31
2023,"01","Ciutat Vella","03","la Barceloneta","041","Ciclomotors",36.24
2023,"01","Ciutat Vella","03","la Barceloneta","041","Furgonetes",13.94
2023,"01","Ciutat Vella","03","la Barceloneta","041","Camions",5.57
2023,"01","Ciutat Vella","03","la Barceloneta","041","Resta de vehicles",4.18
2023,"01","Ciutat Vella","03","la Barceloneta","042","Turismes",198.74
2023,"01","Ciutat Vella","03","la Barceloneta","042","Motos",97.07
2023,"01","Ciutat Vella","03","la Barceloneta","042","Ciclomotors",24.12
2023,"01","Ciutat Vella","03","la Barceloneta","042","Furgonetes",21.25
2023,"01","Ciutat Vella","03","la Barceloneta","042","Camions",8.62
2023,"01","Ciutat Vella","03","la Barceloneta","042","Resta de vehicles",7.47
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","043","Turismes",223.46
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","043","Motos",1581.63
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","043","Ciclomotors",1971.45
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","043","Furgonetes",61.45
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","043","Camions",14.28
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","043","Resta de vehicles",8.69
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","044","Turismes",211.43
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","044","Motos",130.17
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","044","Ciclomotors",28.24
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","044","Furgonetes",21.35
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","044","Camions",6.89
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","044","Resta de vehicles",7.58
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","045","Turismes",159.87
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","045","Motos",115.99
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","045","Ciclomotors",20.9
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","045","Furgonetes",22.47
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","045","Camions",6.27
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","045","Resta de vehicles",3.66
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","046","Turismes",156.93
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","046","Motos",129.66
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","046","Ciclomotors",22.26
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","046","Furgonetes",27.27
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","046","Camions",4.45
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","046","Resta de vehicles",3.9
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","047","Turismes",147.76
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","047","Motos",100.64
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","047","Ciclomotors",26.76
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","047","Furgonetes",22.69
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","047","Camions",4.65
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","047","Resta de vehicles",11.05
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","048","Turismes",144.24
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","048","Motos",84.7
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","048","Ciclomotors",29.53
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","048","Furgonetes",19.36
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","048","Camions",4.84
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","048","Resta de vehicles",2.42
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","049","Turismes",139.19
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","049","Motos",106.08
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","049","Ciclomotors",35.81
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","049","Furgonetes",14.19
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","049","Camions",5.41
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","049","Resta de vehicles",5.41
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","050","Turismes",156.23
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","050","Motos",92.98
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","050","Ciclomotors",20.24
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","050","Furgonetes",15.18
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","050","Camions",4.43
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","050","Resta de vehicles",1.27
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","051","Turismes",128.96
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","051","Motos",94.33
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","051","Ciclomotors",20.3
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","051","Furgonetes",19.7
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","051","Camions",1.79
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","051","Resta de vehicles",1.19
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","052","Turismes",243.35
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","052","Motos",132.66
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","052","Ciclomotors",21.97
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","052","Furgonetes",25.77
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","052","Camions",6.34
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","052","Resta de vehicles",8.87
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","053","Turismes",176.66
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","053","Motos",94.33
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","053","Ciclomotors",29.99
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","053","Furgonetes",20.17
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","053","Camions",4.36
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","053","Resta de vehicles",2.73
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","054","Turismes",124.21
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","054","Motos",134.49
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","054","Ciclomotors",24.53
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","054","Furgonetes",25.32
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","054","Camions",7.12
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","054","Resta de vehicles",6.33
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","055","Turismes",239.66
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","055","Motos",105.39
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","055","Ciclomotors",18.74
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","055","Furgonetes",19.52
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","055","Camions",7.81
2023,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","055","Resta de vehicles",3.9
2023,"02","Eixample","05","el Fort Pienc","001","Turismes",346.76
2023,"02","Eixample","05","el Fort Pienc","001","Motos",89.49
2023,"02","Eixample","05","el Fort Pienc","001","Ciclomotors",14.91
2023,"02","Eixample","05","el Fort Pienc","001","Furgonetes",21.63
2023,"02","Eixample","05","el Fort Pienc","001","Camions",5.97
2023,"02","Eixample","05","el Fort Pienc","001","Resta de vehicles",76.06
2023,"02","Eixample","05","el Fort Pienc","002","Turismes",97.09
2023,"02","Eixample","05","el Fort Pienc","002","Motos",44.32
2023,"02","Eixample","05","el Fort Pienc","002","Ciclomotors",5.7
2023,"02","Eixample","05","el Fort Pienc","002","Furgonetes",7.81
2023,"02","Eixample","05","el Fort Pienc","002","Camions",2.11
2023,"02","Eixample","05","el Fort Pienc","002","Resta de vehicles",2.53
2023,"02","Eixample","05","el Fort Pienc","003","Turismes",258.52
2023,"02","Eixample","05","el Fort Pienc","003","Motos",117.9
2023,"02","Eixample","05","el Fort Pienc","003","Ciclomotors",13.1
2023,"02","Eixample","05","el Fort Pienc","003","Furgonetes",14.85
2023,"02","Eixample","05","el Fort Pienc","003","Camions",4.37
2023,"02","Eixample","05","el Fort Pienc","003","Resta de vehicles",5.24
2023,"02","Eixample","05","el Fort Pienc","004","Turismes",231.98
2023,"02","Eixample","05","el Fort Pienc","004","Motos",125.82
2023,"02","Eixample","05","el Fort Pienc","004","Ciclomotors",13.11
2023,"02","Eixample","05","el Fort Pienc","004","Furgonetes",25.56
2023,"02","Eixample","05","el Fort Pienc","004","Camions",4.59
2023,"02","Eixample","05","el Fort Pienc","004","Resta de vehicles",6.55
2023,"02","Eixample","05","el Fort Pienc","005","Turismes",317.09
2023,"02","Eixample","05","el Fort Pienc","005","Motos",141.71
2023,"02","Eixample","05","el Fort Pienc","005","Ciclomotors",26.63
2023,"02","Eixample","05","el Fort Pienc","005","Furgonetes",21.11
2023,"02","Eixample","05","el Fort Pienc","005","Camions",5.53
2023,"02","Eixample","05","el Fort Pienc","005","Resta de vehicles",8.04
2023,"02","Eixample","05","el Fort Pienc","006","Turismes",291.18
