station_id,name,neighborhood,explanatory_score_0_100,explanatory_score_percentile,bikes_ratio_capacity_mean,target_percentile_0_100,structural_gap_score,score_interpretation,pred__xgboost,prediction_percentile_0_100,predictive_gap,predictive_interpretation
389,RECINTE PARC DE LA CIUTADELLA,"Sant Pere, Santa Caterina i la Ribera",46.14,40.88,0.6647386998561344,96.32,-55.44,Infravalorada por score,0.52598923,86.56,0.138749,Infrapredicha por modelo
482,"PG. UNIVERSAL, 29 | C/ DOCTOR LETAMENDI",Horta,23.58,3.87,0.3589576579135528,59.12,-55.25,Infravalorada por score,0.122257285,1.29,0.2367,Infrapredicha por modelo
351,"C/ JANE ADDAMS, 26/ CRTA. DEL PRAT",la Marina de Port,35.84,18.6,0.4439071203412463,73.3,-54.7,Infravalorada por score,0.4598131,76.8,-0.015906,Sobrepredicha por modelo
361,PG. DE COLOM (LES RAMBLES),el Barri Gòtic,44.29,36.65,0.5880495091762697,91.34,-54.69,Infravalorada por score,0.53981483,88.21,0.048235,Infrapredicha por modelo
253,"C/ ONZE DE SETEMBRE, 37-39",Sant Andreu,34.75,16.02,0.4195571232608269,70.53,-54.51,Infravalorada por score,0.40573442,68.69,0.013823,Infrapredicha por modelo
125,"PG. MARíTIM, 31 B (ANNEXA A LA 12)",la Barceloneta,35.79,17.86,0.4298874024395487,72.01,-54.15,Infravalorada por score,0.5108086,83.98,-0.080921,Sobrepredicha por modelo
355,"C/ RIERA BLANCA, 123",Sants - Badal,35.67,17.68,0.4256430543326144,71.09,-53.41,Infravalorada por score,0.3974519,67.77,0.028191,Infrapredicha por modelo
114,"PL. JEAN GENET,  1",el Raval,45.57,39.78,0.6159070447895566,93.0,-53.22,Infravalorada por score,0.52999926,87.11,0.085908,Infrapredicha por modelo
341,"PG. D'ENRIC SANCHIS, 33",el Bon Pastor,36.46,20.07,0.4417114988849847,72.93,-52.86,Infravalorada por score,0.57256424,93.0,-0.130853,Sobrepredicha por modelo
437,"PG. ZONA FRANCA, 9",la Marina del Prat Vermell,36.5,20.26,0.4403001918519355,72.74,-52.48,Infravalorada por score,0.53532666,88.03,-0.095026,Sobrepredicha por modelo
252,"RAMBLA DE L'ONZE DE SETEMBRE, 31",Sant Andreu,37.67,22.1,0.4476068463667111,74.03,-51.93,Infravalorada por score,0.39260218,66.85,0.055005,Infrapredicha por modelo
134,"C/ BAC DE RODA, 157",Provençals del Poblenou,42.22,31.31,0.5189591844485315,83.24,-51.93,Infravalorada por score,0.47845864,79.56,0.040501,Infrapredicha por modelo
250,"C/ PORTUGAL, 3",la Sagrera,39.11,24.86,0.4643816867791631,76.24,-51.38,Infravalorada por score,0.40497044,68.51,0.059411,Infrapredicha por modelo
375,WORLD TRADE CENTER,el Raval,17.19,0.74,0.3040392509418591,51.75,-51.01,Infravalorada por score,0.30939963,51.93,-0.00536,Sobrepredicha por modelo
