station_id,n_observations,bikes_available_mean,bikes_available_std,bikes_available_min,bikes_available_max,docks_available_mean,docks_available_std,docks_available_min,docks_available_max,mechanical_bikes_mean,ebikes_mean,bikes_ratio_capacity_mean,bikes_ratio_capacity_std,docks_ratio_capacity_mean,docks_ratio_capacity_std,pct_empty,pct_near_empty,pct_full,pct_near_full,capacity
13,8472,24.900613786591123,15.534168480099476,0,54,27.998937677053824,15.642721056277772,0,54,15.303234183191691,9.597379603399434,0.4611224775294652,0.2876697866685087,0.5184988458713672,0.2896800195607,0.005901794145420208,0.02927289896128423,0.037063267233238904,0.09560906515580736,54
130,8865,11.17834179357022,6.35604122949595,0,24,11.026959954878736,6.722807211072283,0,24,4.829328821206993,6.3490129723632265,0.46576424139875916,0.26483505122899664,0.45945666478661407,0.28011696712801315,0.01849971799210378,0.08460236886632826,0.07411167512690356,0.14303440496333897,24
131,8884,14.214655560558308,7.071510799201834,0,28,11.864025213867627,7.3286938630574765,0,29,5.552453849617289,8.662201710941018,0.4901605365709761,0.2438451999724769,0.40910431771957334,0.25271358148474066,0.013957676722197209,0.064948221521837,0.021161638901395767,0.10637100405222873,29
132,8723,14.362031411211738,7.511732814661148,0,27,10.451335549696205,7.2686995792006845,0,27,11.030379456608966,3.331651954602774,0.5319270893041385,0.27821232646893196,0.38708650184060023,0.26921109552595,0.010776109136764874,0.04918032786885246,0.06775192021093661,0.187320875845466,27
133,8874,8.358350236646382,3.8851778353785886,0,15,5.075952219968447,3.6218592055750305,0,16,6.363308541807528,1.9950416948388552,0.5223968897903989,0.2428236147111618,0.31724701374802794,0.2263662003484394,0.01104349785891368,0.07031778228532792,0.06006310570205094,0.31947261663286003,16
134,8777,10.898142873419165,5.588752497776932,0,21,7.971402529338043,5.784765910583876,0,21,7.294861570012532,3.603281303406631,0.5189591844485315,0.26613107132271174,0.3795905966351449,0.2754650433611369,0.01367209752762903,0.0773612851771676,0.11063005582773157,0.24518628232881395,21
135,8873,8.703820579285473,5.782089277367446,0,21,10.61726586272963,5.89931139925059,0,21,3.4343514031331006,5.269469176152373,0.4144676466326416,0.2753375846365446,0.5055840887014109,0.2809195904405042,0.037642285585484055,0.1722078214808971,0.06018257635523498,0.12397159923363012,21
136,8857,12.62301004854917,6.797099972698331,0,31,15.913966354296036,6.949362288709305,0,31,7.618945466862368,5.0040645816868015,0.4071938725338442,0.2192612894418814,0.5133537533643883,0.22417297705513922,0.00711301795190245,0.04109743705543638,0.014790561138082872,0.04369425313311505,31
137,8875,8.973971830985915,5.540912511459893,0,24,14.412394366197184,5.5337454800168,0,24,4.128676056338028,4.845295774647887,0.35895887323943665,0.22163650045839506,0.5764957746478873,0.22134981920067198,0.01892957746478873,0.09757746478873239,0.0014647887323943661,0.03267605633802817,25
138,8813,10.80063542494043,5.879296522837759,0,21,9.44683989560876,5.806322806341804,0,21,6.1032565528196985,4.697378872120731,0.514315972616211,0.2799665010875122,0.4498495188385124,0.27649156220675236,0.02371496652672189,0.07625099285146943,0.0777260864631794,0.18279813911267445,21
139,8873,12.220444043728165,6.499798944751271,0,30,21.53116195198918,6.568186723862694,3,35,6.053645892032007,6.166798151696157,0.349155544106519,0.18570854127860736,0.6151760557711194,0.18766247782464834,0.015214696269581877,0.06615575340921898,0.0,0.0,35
14,8868,15.424785746504286,7.146289396346806,0,27,10.738497970230041,7.37046383152355,0,27,13.495489400090213,1.929296346414073,0.5712883609816402,0.2646773850498821,0.3977221470455571,0.2729801419082808,0.0014659449706811007,0.04262516914749662,0.043640054127198916,0.14896256202074876,27
140,8422,10.661838043220138,6.651921540171158,0,26,12.765970078366184,6.6537494532437,0,27,5.963547850866777,4.69829019235336,0.3948828904896347,0.2463674644507838,0.47281370660615496,0.24643516493495127,0.029921633816195677,0.13179767276181428,0.017098076466397532,0.06376157682260745,27
141,8883,14.706630642800855,7.662871467539281,0,32,15.36643026004728,7.333947782842595,0,31,9.547337611167398,5.1592930316334575,0.4595822075875267,0.23946473336060253,0.4802009456264775,0.2291858682138311,0.0070921985815602835,0.04063942361814702,0.02465383316447146,0.05617471574918383,32
142,8861,29.41564157544295,13.136787696366948,0,52,20.65669788962871,13.029718050703963,0,51,22.0004514163187,7.415190159124252,0.576777285792999,0.25758407247778353,0.4050332919535041,0.2554846676608627,0.0003385622390249407,0.0014671030357747432,0.03182485046834443,0.10021442275138247,51
143,8881,18.535412678752394,5.580987601022113,0,27,5.8258079045152575,5.46618932794604,0,25,15.246481252111248,3.288931426641144,0.6864967658797182,0.20670324448230076,0.2157706631301947,0.20245145659059346,0.00022519986488008108,0.009345794392523364,0.12768832338700598,0.33791239725256167,27
