,capacity,bikes_available_mean,docks_available_mean,n_observations,bus_count_300m,bus_unique_lines_300m,bus_nearest_m,metro_count_500m,metro_unique_lines_500m,metro_nearest_m,tram_count_500m,tram_unique_lines_500m,tram_nearest_m,poi_count_300m,bike_lane_len_300m,bike_lane_nearest_m,mean_altitude_150m,nearby_distance,income_2022_house,income_2022_pers,f,m,10-19,20-29,30-39,40-49,50-59,60-69,70+,total_population,education_primary,education_secondary,education_college,household_avg_m2,non_spanish_population,cars,others,motos,population,cars_abs,motos_abs,others_abs,unemployment_percentage,unemployment,bikes_available_std,bikes_available_min,bikes_available_max,docks_available_std,docks_available_min,docks_available_max,mechanical_bikes_mean,ebikes_mean,bikes_ratio_capacity_std,docks_ratio_capacity_mean,docks_ratio_capacity_std
tram_count_500m,0.011062966585390195,-0.08092969012610318,0.07675125503807069,-0.13845133768081064,-0.35739264475942245,-0.25560563592918434,0.10380112429217582,-0.04419385589184652,0.025469973477009487,0.1125978297406653,1.0,0.9993878175122617,-0.538358373447556,-0.03408925413591874,0.004179426060437762,-0.1317306640911299,0.1903597864547686,0.05791925266738194,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004838187996669212,-0.10314553117940155,0.029099928730438738,-0.004838187996669212,-0.12076703386372908,0.06433426400718108,-0.12227420573400373,0.19198809641328282,-0.0983031833868699,0.09302516011777621,-0.0983031833868699
tram_unique_lines_500m,0.006420451107257556,-0.0765782172453983,0.07085685618683406,-0.14228036727543295,-0.35893360736844476,-0.25774999826430406,0.09858345208602999,-0.04309284229228946,0.025715175077374582,0.11354701177765955,0.9993878175122617,1.0,-0.5386881488986639,-0.036530855075949345,0.0013206272207851096,-0.12895067616610173,0.18670673490638967,0.05795473153911176,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0022005234840631696,-0.10320871374653917,0.0273530417393089,-0.003080732877688437,-0.12084101061422772,0.060846347924745026,-0.11662774465534799,0.1910054384166831,-0.08978135814977732,0.08758083466571415,-0.09066156754340259
tram_nearest_m,0.024448872035272576,-0.259601706970128,0.29895685158843055,-0.1398825967578224,0.018278947330722783,-0.07971499788109108,-0.08226647700331911,-0.010938347173138177,-0.1769899138155578,-0.02797534376481745,-0.538358373447556,-0.5386881488986639,1.0,-0.3372651301046417,-0.27460280591866826,0.320293978188715,0.17528957528957528,-0.2341464528954235,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005215742057847321,-0.012772355220158104,-0.06642524610084335,0.010668563300142247,0.4013496860873324,0.0409715081635312,-0.28662873399715505,0.1251778093883357,0.0820293978188715,0.29611190137505927,0.062351825509720245
poi_count_300m,-0.3662777392177369,-0.08725031133814282,-0.2597356414971072,0.5748696809602613,0.6716130802593433,0.7710206044681741,0.1038468379513765,0.8209108434089066,0.8612535425221498,-0.6566297207907242,-0.03408925413591874,-0.036530855075949345,-0.3372651301046417,1.0,0.5781704010346772,-0.2979076527075447,0.29821738912386714,0.2809923983302458,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23484085157725668,-0.2547108864999365,-0.29780238596600095,-0.2558236030811307,-0.21839115714172455,-0.29738764529844447,0.05476853782367117,-0.2782289140089962,-0.1159385930553039,-0.039831663871760854,-0.06282970789295611
bike_lane_len_300m,-0.041871167395217,0.05643822781402681,-0.04695281137469458,0.556221562734273,0.6285175141966551,0.6063346830988251,-0.32558691928007905,0.4412846344556347,0.46379633350113664,-0.530946185191622,0.004179426060437762,0.0013206272207851096,-0.27460280591866826,0.5781704010346772,1.0,-0.6409770158878759,0.13115387117704816,0.26542891508005206,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03248755130471291,-0.23596886400535244,0.013193114439829613,0.08038890432334071,-0.21315072908232588,0.02055000563533978,0.09698838309217213,-0.16030353782471482,0.0559639569920602,0.033673228359629444,0.14963244433046605
bike_lane_nearest_m,-0.2622588761247044,-0.3361782835467046,0.0002370791844476055,-0.363647293522244,-0.38065314343914264,-0.31885999152436434,0.6218587008060692,-0.24866509240267456,-0.2054369300123281,0.30678046467520154,-0.1317306640911299,-0.12895067616610173,0.320293978188715,-0.2979076527075447,-0.6409770158878759,1.0,0.14208494208494207,-0.2809757434745082,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3238501659554291,0.26296025453266686,-0.2988541931012899,-0.3508771929824561,0.3283370308648697,-0.3056830782983458,-0.2652916073968706,-0.06519677572309152,-0.22712185870080606,0.08179231863442389,-0.277619724988146
mean_altitude_150m,-0.38775298995742874,-0.8092664092664092,0.3837837837837838,0.12032211735263154,0.26549839801486513,0.3943693611257842,0.24736164736164737,0.4646343297897248,0.3669251252466549,-0.5323037323037323,0.1903597864547686,0.18670673490638967,0.17528957528957528,0.29821738912386714,0.13115387117704816,0.14208494208494207,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4357786357786358,-0.3063044136515075,-0.4933238759053997,-0.41415701415701417,0.5441883858130745,-0.2739060214177376,-0.8054054054054054,0.13024453024453025,-0.43886743886743884,0.6738738738738739,-0.3590733590733591
nearby_distance,0.2826899483735619,0.2809757434745082,0.2809757434745082,0.2812258777210312,0.28134283587860187,0.2820139790934271,-0.2809757434745082,0.19205399033212564,0.19544430721529718,-0.2341464528954235,0.05791925266738194,0.05795473153911176,-0.2341464528954235,0.2809923983302458,0.26542891508005206,-0.2809757434745082,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2809757434745082,-0.5441487697292751,0.28166103080048227,0.2809757434745082,0.05791925266738194,0.28149342529275134,0.2809757434745082,0.20292692584270036,0.17170739878997723,0.2809757434745082,0.2809757434745082
income_2022_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_2022_pers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
